cycle: 39; nbPreys: 16; minEnergyPreys: 0.05356209150326793; maxSizePreys: 0.4370784313725487; minAgePrey: 3.400000000000001; maxAgePrey: 8.8; nbPredators: 41; minEnergyPredators: 0.1883333333333333; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 8.8
cycle: 40; nbPreys: 12; minEnergyPreys: 0.12620588235294095; maxSizePreys: 0.4710784313725487; minAgePrey: 3.600000000000001; maxAgePrey: 9.0; nbPredators: 43; minEnergyPredators: 0.1533333333333333; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 9.0
cycle: 41; nbPreys: 10; minEnergyPreys: 0.14774036912398275; maxSizePreys: 0.5145784313725487; minAgePrey: 4.200000000000001; maxAgePrey: 9.2; nbPredators: 43; minEnergyPredators: 0.11783333333333329; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 9.2
cycle: 42; nbPreys: 9; minEnergyPreys: 0.1682403691239827; maxSizePreys: 0.5575784313725487; minAgePrey: 4.400000000000001; maxAgePrey: 9.399999999999999; nbPredators: 43; minEnergyPredators: 0.08183333333333329; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 9.399999999999999
cycle: 43; nbPreys: 7; minEnergyPreys: 0.19824036912398268; maxSizePreys: 0.47250000000000003; minAgePrey: 4.600000000000001; maxAgePrey: 9.599999999999998; nbPredators: 43; minEnergyPredators: 0.045333333333333274; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 9.599999999999998
cycle: 44; nbPreys: 7; minEnergyPreys: 0.22774036912398268; maxSizePreys: 0.502; minAgePrey: 1.0; maxAgePrey: 9.799999999999997; nbPredators: 43; minEnergyPredators: 0.008333333333333262; maxSizePredators: 1.0; minAgePredators: 1.7999999999999998; maxAgePredators: 9.799999999999997
cycle: 45; nbPreys: 10; minEnergyPreys: 0.13275; maxSizePreys: 0.552; minAgePrey: 1.0; maxAgePrey: 9.999999999999996; nbPredators: 42; minEnergyPredators: 0.39149999999999985; maxSizePredators: 1.0; minAgePredators: 1.9999999999999998; maxAgePredators: 9.999999999999996
cycle: 46; nbPreys: 10; minEnergyPreys: 0.16125; maxSizePreys: 0.602; minAgePrey: 1.2; maxAgePrey: 10.199999999999996; nbPredators: 42; minEnergyPredators: 0.3534999999999998; maxSizePredators: 1.0; minAgePredators: 2.1999999999999997; maxAgePredators: 10.199999999999996
cycle: 47; nbPreys: 7; minEnergyPreys: 0.18924999999999997; maxSizePreys: 0.6519999999999999; minAgePrey: 1.4; maxAgePrey: 10.399999999999995; nbPredators: 42; minEnergyPredators: 0.3149999999999998; maxSizePredators: 1.0; minAgePredators: 2.4; maxAgePredators: 10.399999999999995
cycle: 48; nbPreys: 12; minEnergyPreys: 0.08658169934640521; maxSizePreys: 0.7014999999999999; minAgePrey: 1.0; maxAgePrey: 10.599999999999994; nbPredators: 44; minEnergyPredators: 0.27599999999999975; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 10.599999999999994
